id,label,source,score
http://dbpedia.org/resource/BBC_Television_Shakespeare,BBC Television Shakespeare,http://dbpedia.org/resource/BBC_Television_Shakespeare,459.145
http://dbpedia.org/resource/Immortal_Songs:_Singing_the_Legend,Immortal Songs: Singing the Legend,http://dbpedia.org/resource/Immortal_Songs:_Singing_the_Legend,423.945
http://dbpedia.org/resource/Game_of_Thrones,Game of Thrones,http://dbpedia.org/resource/Game_of_Thrones,392.445
http://dbpedia.org/resource/The_Simpsons,The Simpsons,http://dbpedia.org/resource/The_Simpsons,388.235
http://dbpedia.org/resource/Doctor_Who,Doctor Who,http://dbpedia.org/resource/Doctor_Who,353.69
http://dbpedia.org/resource/Danse_avec_les_stars,Danse avec les stars,http://dbpedia.org/resource/Danse_avec_les_stars,337.20000000000005
http://dbpedia.org/resource/EastEnders,EastEnders,http://dbpedia.org/resource/EastEnders,336.1600000000001
http://dbpedia.org/resource/Clash_of_the_Champions,Clash of the Champions,http://dbpedia.org/resource/Clash_of_the_Champions,333.24
http://dbpedia.org/resource/Oryol_i_Reshka,Oryol i Reshka,http://dbpedia.org/resource/Oryol_i_Reshka,332.20000000000005
http://dbpedia.org/resource/Strictly_Come_Dancing,Strictly Come Dancing,http://dbpedia.org/resource/Strictly_Come_Dancing,322.55
http://dbpedia.org/resource/Grey's_Anatomy,Grey's Anatomy,http://dbpedia.org/resource/Grey's_Anatomy,305.33000000000004
http://dbpedia.org/resource/Major_League_Baseball_on_CBS,Major League Baseball on CBS,http://dbpedia.org/resource/Major_League_Baseball_on_CBS,305.035
http://dbpedia.org/resource/The_X-Files,The X-Files,http://dbpedia.org/resource/The_X-Files,299.83000000000004
http://dbpedia.org/resource/The_Kapil_Sharma_Show,The Kapil Sharma Show,http://dbpedia.org/resource/The_Kapil_Sharma_Show,298.88
http://dbpedia.org/resource/SpongeBob_SquarePants,SpongeBob SquarePants,http://dbpedia.org/resource/SpongeBob_SquarePants,298.78
http://dbpedia.org/resource/Agents_of_S.H.I.E.L.D.,Agents of S.H.I.E.L.D.,http://dbpedia.org/resource/Agents_of_S.H.I.E.L.D.,286.11000000000007
http://dbpedia.org/resource/All_the_Stations,All the Stations,http://dbpedia.org/resource/All_the_Stations,284.375
http://dbpedia.org/resource/NASCAR_on_Fox,NASCAR on Fox,http://dbpedia.org/resource/NASCAR_on_Fox,284.065
http://dbpedia.org/resource/Cluedo_(Australian_game_show),Cluedo (Australian game show),http://dbpedia.org/resource/Cluedo_(Australian_game_show),279.905
http://dbpedia.org/resource/King_of_Mask_Singer,King of Mask Singer,http://dbpedia.org/resource/King_of_Mask_Singer,279.27000000000004
http://dbpedia.org/resource/WandaVision,WandaVision,http://dbpedia.org/resource/WandaVision,276.905
http://dbpedia.org/resource/Eurovision_Song_Contest,Eurovision Song Contest,http://dbpedia.org/resource/Eurovision_Song_Contest,274.355
http://dbpedia.org/resource/Saturday_Night's_Main_Event,Saturday Night's Main Event,http://dbpedia.org/resource/Saturday_Night's_Main_Event,272.555
http://dbpedia.org/resource/Sesame_Street,Sesame Street,http://dbpedia.org/resource/Sesame_Street,271.935
http://dbpedia.org/resource/Saturday_Night_Live,Saturday Night Live,http://dbpedia.org/resource/Saturday_Night_Live,271.76
http://dbpedia.org/resource/Hidden_Singer_(South_Korean_TV_series),Hidden Singer (South Korean TV series),http://dbpedia.org/resource/Hidden_Singer_(South_Korean_TV_series),271.61
http://dbpedia.org/resource/The_Sopranos,The Sopranos,http://dbpedia.org/resource/The_Sopranos,271.075
http://dbpedia.org/resource/The_One_Show,The One Show,http://dbpedia.org/resource/The_One_Show,270.46999999999997
http://dbpedia.org/resource/Macy's_Thanksgiving_Day_Parade,Macy's Thanksgiving Day Parade,http://dbpedia.org/resource/Macy's_Thanksgiving_Day_Parade,266.76
